Name,Email,Position,Site,Main,Date,Time,Phone,Money,Shift,Avatar,
Aaron Ryan,treeves@outlook.com,CSR,"Microsoft (CBRE) – Des Moines, IA",Microsoft (CBRE) – Puget Sound (CBRE),06/11/2020,9:30 PM,(000) 000-0015,"$8,488.00",Day,https://cdn.4insite.com/image/64d3d91b-36e2-3cba-3b25-ef668df1dcdf_t.png,https://cdn.4insite.com/image/01713d45bf964b82a782824361ab88fe_HungNguyen_t.png
Adam Craft,sacraver@mac.com,Custodian,Abbott – Abbott Park,"Delta - LaGuardia, NY",03/23/2020,3:00 PM,(000) 000-0011,"$1,052.00",Night,https://cdn.4insite.com/assets/375f69e40ded4cb7be9baa2cc7429eb0_20241215_140710_t.jpg,https://cdn.4insite.com/image/067d5aee17754d9898db1d1f6d12d927_AlesajaCrayton_t.png
Alicia Langley,rgarcia@optonline.net,Custodial Supervisor,"Microsoft (CBRE) – Des Moines, IA","Delta - Detroit, MI",04/14/2021,5:05 PM,(777) 777-7791,"$2,415.00",Swing,https://cdn.4insite.com/assets/r2d40f3ab68084c50874cf1163069d0ae_Adelina2_t.jpg,https://cdn.4insite.com/image/1587958332.0398617_LNguyen_t.png
Allen Burgess,ramollin@msn.com,Sr Custodial Lead,"Boeing (JLL) – O'Fallon, MO",Microsoft (CBRE) – Puget Sound (CBRE),07/01/2020,6:20 PM,(888) 888-8902,"$9,113.00",Graveyard,https://cdn.4insite.com/assets/909695ae86d84dd5917532dd3037af8c_AgustinaGarcia_DB_1_t.jpg,https://cdn.4insite.com/image/1594678941.8834553_seraheadshot_t.png
Allison Black,kudra@att.net,Recycle Tech,"GM (JLL) – Chandler, AZ","Delta - LaGuardia, NY",04/23/2021,7:50 AM,(444) 444-4446,"$9,438.00",Day,https://cdn.4insite.com/assets/98e43f08a54d44efb022f444da0a392d_Anthony_t.jpg,https://cdn.4insite.com/image/1faba6540d1046ce8f74582cd5134dca_a3f56ef4a1584863a5be7843fca568cb_t.png
Allison Hardin,bulletin@msn.com,CSR Lead,"Endo Pharmaceuticals Inc – Malvern, PA","Delta - Detroit, MI",07/30/2021,5:45 PM,(111) 111-1125,"$2,544.00",Night,https://cdn.4insite.com/assets/c4a0cedc304a4ce5823e773cfd378cd2_Arnoldo_t.jpg,https://cdn.4insite.com/image/20046cbc-7544-e32a-e889-cd0947769de0_t.png
Amy Sargent,blixem@yahoo.com,"CSR, Exterior",DuPont – Buffalo,Microsoft (CBRE) – Puget Sound (CBRE),03/13/2021,8:35 PM,(333) 333-3349,"$9,391.00",Swing,https://cdn.4insite.com/assets/6d8af4de2aaf4830b4afeeb317868995_AliciaPrimus_t.jpg,https://cdn.4insite.com/image/22cfeacabaf341eaa1f59f5b57dcc392_sharedimage79_t.png
Ana Burnett,burns@comcast.net,Cleanroom Tech,"Micron (C&W) – Boise, ID","Delta - LaGuardia, NY",06/07/2021,8:20 PM,(000) 000-0015,"$5,099.00",Graveyard,https://cdn.4insite.com/assets/50391811774747b08381a4916da1d4c8_20240816_072045_t.jpg,https://cdn.4insite.com/image/3c4fbb51f327498a8b14592ba244d15d_20221116_063815_t.png
Andre Barnett,roamer@verizon.net,Custodial Lead,"Anthem – Denver, CO","Delta - Detroit, MI",05/31/2021,9:20 PM,(777) 777-7792,"$2,661.00",Day,https://cdn.4insite.com/assets/c82f8a6dab1f409fbcc6128af4742c35_Weston_t.jpg,https://cdn.4insite.com/image/41fd825c-ce0a-63c1-96d4-3a323caaacc8_t.png
Andrea Hickman,grady@verizon.net,Custodial Lead II,"Nestle – ST. Joseph, MO - Purina ",Microsoft (CBRE) – Puget Sound (CBRE),03/04/2020,6:50 PM,(555) 555-5570,"$9,710.00",Night,https://cdn.4insite.com/assets/2aaabfc1c8d34c59ad7e469c4207aad4_AMALIAMATEOS_t.jpg,https://cdn.4insite.com/image/46e26cd24a2d4410af6a7fcaca905c5a_Frankklyn_t.png
