Name,Email,Position,Site,Main,Date,Time,Phone,Money,Shift,Avatar,
Dwayne Wells,treeves@outlook.com,Site Mgr,"Microsoft (CBRE) – Des Moines, IA",Microsoft (CBRE) – Puget Sound (CBRE),06/11/2020,9:30 PM,(000) 000-0015,"$8,488.00",Day,https://cdn.4insite.com/assets/95213175388a42e2853c7f8b7c179da6_20230417_074714_t.jpg,https://cdn.4insite.com/assets/rff66c5df069444ac97cc4c85ee906d6a_Headshot_t.png
Jazmin Lin,sacraver@mac.com,Sr Site Mgr,Abbott – Abbott Park,"Delta - LaGuardia, NY",03/23/2020,3:00 PM,(000) 000-0011,"$1,052.00",Night,https://cdn.4insite.com/assets/d59260db4c624794aa21a73c958b5e09_FB_IMG_1750046846456_t.jpg,https://cdn.4insite.com/assets/rf2863015eb7f46ea9c641eec2db424cd_Alex_Picture_t.png
Kasey Douglas,rgarcia@optonline.net,Assoc Site Mgr,"Microsoft (CBRE) – Des Moines, IA","Delta - Detroit, MI",04/14/2021,5:05 PM,(777) 777-7791,"$2,415.00",Swing,https://cdn.4insite.com/assets/rc7c1a163596546e097a3312917128ab4_be_t.jpg,https://cdn.4insite.com/assets/re212dd5e42764832b42ea1c3ee805a2d_Screenshot_20230118_203821_Gallery_t.png
Mia Moyer,ramollin@msn.com,Account Mgr,"Boeing (JLL) – O'Fallon, MO",Microsoft (CBRE) – Puget Sound (CBRE),07/01/2020,6:20 PM,(888) 888-8902,"$9,113.00",Graveyard,https://cdn.4insite.com/assets/r39179793193e423d898d1724715c3f26_Headshot20264_t.png,https://cdn.4insite.com/assets/r9caff6d0b6b04667bbfebdad11191ea7_StuKelloffsProfilePic_t.png
Maya Valenzuela,kudra@att.net,Account Dir,"GM (JLL) – Chandler, AZ","Delta - LaGuardia, NY",04/23/2021,7:50 AM,(444) 444-4446,"$9,438.00",Day,https://cdn.4insite.com/assets/61c4197397a9465383b2fa6fbb46e986_ProfessionalHeadshotCENTERED_t.jpg,https://cdn.4insite.com/assets/r9ac5ef03f70b45d98e38df6fa721a0e1_PXL_20230328_211357723.PORTRAIT3_t.png
Christina Delacruz,bulletin@msn.com,Site Mgr,"Endo Pharmaceuticals Inc – Malvern, PA","Delta - Detroit, MI",07/30/2021,5:45 PM,(111) 111-1125,"$2,544.00",Night,https://cdn.4insite.com/assets/3945ad92d52340539a4c70a4e02045bc_ahmed_t.jpg,https://cdn.4insite.com/assets/r7abc65047ed449f686779c191234a98d_temp_file_.jpg
Kasey Dunn,blixem@yahoo.com,Sr Site Mgr,DuPont – Buffalo,Microsoft (CBRE) – Puget Sound (CBRE),03/13/2021,8:35 PM,(333) 333-3349,"$9,391.00",Swing,https://cdn.4insite.com/assets/3e80ff336dac4d83aa4060231556d5e9_cropped7432398783125274680.jpg,https://cdn.4insite.com/assets/r6fa7e5e9447f412ea5d19152cd587135_Screenshot20250923111350_t.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIA3P5EIQBK2EAQQJGJ%2F20260612%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260612T182822Z&X-Amz-Expires=300&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFMaCXVzLXdlc3QtMiJIMEYCIQD7KMRDZFJWYkfGCdXYApkS8K5vx6Z0M%2F6glnpxwSJ0jQIhAP3ShKjrMYxejB3Nt%2B9np%2Buje6TcRvAqgNycgnVOQ3ucKu0CCBwQBBoMNzkwMDgxNjAxNjIxIgwHgLc7ZY7sW841rFEqygJy%2BOAkHJMI%2BAajjHps6ZmL%2FZiXZ8KpOCPeJcLFc2HJmV%2BkS5AS%2BO0PtVkBv3Q4n0veLZ%2FqH3fVLFXBfj4t7W0TQ85CnCnBNXv1E7VAH2dp2qr2X2x7CRChFs5BMNXuxLo1nOnhlgPPtvWy%2BZqTaiP%2FksKv7BXWKtcB2fJkIJlkHXmA66EcGkcXPeSrLJYzb8MmXHxBfpCkn5PtDPg75CGm1JRrPwRhkRojfMlhBn39YcwtXSqbMc4%2F58clKYnArfOxaaDEdV4cYA7iizEftKNKmZxMmRn3%2B9Q8YGBTtZn3UjpWFyV69rXDwg%2F6BfoGcwylsc6%2FM7wRp5wHtECG5Z7Ffuvu%2F6BXVjJjLTiFjjcl3z%2BM%2F%2FTuw5bcdDn2l3ycvSYrTEHdTQlqQpQxV0fR50tDKWklUPrgwtXp2TvdNHnvSlqXZszxTg367uAwu9uw0QY6rAKw6ejecdP8ZQ45dk73KWeJl1w8hn0aWvUHRTIVKV5FizKeOv%2FKQrQ8loAJ4v8IA4v3LA2uIolG9DKOFJfI6WA0uOkIdrcoJhI9r92t%2FG7XPE4KhnWAgAPFY3AWvo0rikBjSXc%2Fu2k9BANoqkG4tXWux6YgvS8CaeZ3p8Pei%2Fv1uLYXUyAQBDMcwv1TGYQAlef3fo9eSN8wUKo3%2FzqHHKyq%2BZFX08HAw7lVlzmUedF8P8e0nj0EK2ohDmfh5VnjDC5hBWBJvzFCugkf9ZGTljbZTyMZNRM46YMmyjmZXyqsAD1JBNce%2F3YEcTPTe54157nE1JHri3DwyFQtIReTxa%2BpJenYenfN30QJNf%2Fy3vGc0ObBk8TonskU4%2B%2F2aaU9hTdOQEmdLW6sW2UtTV8%3D&X-Amz-Signature=121177e02f8d2b8b817644508ab68b1984375780894f2e3fba0b0a944a5448b8&X-Amz-SignedHeaders=host&response-content-disposition=inline
Brendon Lee,burns@comcast.net,Assoc Site Mgr,"Micron (C&W) – Boise, ID","Delta - LaGuardia, NY",06/07/2021,8:20 PM,(000) 000-0015,"$5,099.00",Graveyard,https://cdn.4insite.com/assets/r0a1cee2e179841c9b22f813f635edc13_portrait_t.jpg,https://cdn.4insite.com/assets/r613ecdcb4b794920b91e3ba16b79e62b_44d6d6963a0a4b6cad8dc78bba16e639_t.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIA3P5EIQBK2EAQQJGJ%2F20260612%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260612T182822Z&X-Amz-Expires=300&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFMaCXVzLXdlc3QtMiJIMEYCIQD7KMRDZFJWYkfGCdXYApkS8K5vx6Z0M%2F6glnpxwSJ0jQIhAP3ShKjrMYxejB3Nt%2B9np%2Buje6TcRvAqgNycgnVOQ3ucKu0CCBwQBBoMNzkwMDgxNjAxNjIxIgwHgLc7ZY7sW841rFEqygJy%2BOAkHJMI%2BAajjHps6ZmL%2FZiXZ8KpOCPeJcLFc2HJmV%2BkS5AS%2BO0PtVkBv3Q4n0veLZ%2FqH3fVLFXBfj4t7W0TQ85CnCnBNXv1E7VAH2dp2qr2X2x7CRChFs5BMNXuxLo1nOnhlgPPtvWy%2BZqTaiP%2FksKv7BXWKtcB2fJkIJlkHXmA66EcGkcXPeSrLJYzb8MmXHxBfpCkn5PtDPg75CGm1JRrPwRhkRojfMlhBn39YcwtXSqbMc4%2F58clKYnArfOxaaDEdV4cYA7iizEftKNKmZxMmRn3%2B9Q8YGBTtZn3UjpWFyV69rXDwg%2F6BfoGcwylsc6%2FM7wRp5wHtECG5Z7Ffuvu%2F6BXVjJjLTiFjjcl3z%2BM%2F%2FTuw5bcdDn2l3ycvSYrTEHdTQlqQpQxV0fR50tDKWklUPrgwtXp2TvdNHnvSlqXZszxTg367uAwu9uw0QY6rAKw6ejecdP8ZQ45dk73KWeJl1w8hn0aWvUHRTIVKV5FizKeOv%2FKQrQ8loAJ4v8IA4v3LA2uIolG9DKOFJfI6WA0uOkIdrcoJhI9r92t%2FG7XPE4KhnWAgAPFY3AWvo0rikBjSXc%2Fu2k9BANoqkG4tXWux6YgvS8CaeZ3p8Pei%2Fv1uLYXUyAQBDMcwv1TGYQAlef3fo9eSN8wUKo3%2FzqHHKyq%2BZFX08HAw7lVlzmUedF8P8e0nj0EK2ohDmfh5VnjDC5hBWBJvzFCugkf9ZGTljbZTyMZNRM46YMmyjmZXyqsAD1JBNce%2F3YEcTPTe54157nE1JHri3DwyFQtIReTxa%2BpJenYenfN30QJNf%2Fy3vGc0ObBk8TonskU4%2B%2F2aaU9hTdOQEmdLW6sW2UtTV8%3D&X-Amz-Signature=21fd81431a42035a2e2ccc9ee62a4cdd8d4e44af34632e23ed19a90c378f9d80&X-Amz-SignedHeaders=host&response-content-disposition=inline
Chad Espinoza,roamer@verizon.net,Account Mgr,"Anthem – Denver, CO","Delta - Detroit, MI",05/31/2021,9:20 PM,(777) 777-7792,"$2,661.00",Day,https://cdn.4insite.com/assets/027bad2c2a994309a2f5343d78902060_Headshort_t.jpg,https://cdn.4insite.com/assets/r4449dd9505c248e89ba62e382c91f9ad_thumbnail_IMG_6398_t.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIA3P5EIQBK2EAQQJGJ%2F20260612%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260612T182822Z&X-Amz-Expires=300&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFMaCXVzLXdlc3QtMiJIMEYCIQD7KMRDZFJWYkfGCdXYApkS8K5vx6Z0M%2F6glnpxwSJ0jQIhAP3ShKjrMYxejB3Nt%2B9np%2Buje6TcRvAqgNycgnVOQ3ucKu0CCBwQBBoMNzkwMDgxNjAxNjIxIgwHgLc7ZY7sW841rFEqygJy%2BOAkHJMI%2BAajjHps6ZmL%2FZiXZ8KpOCPeJcLFc2HJmV%2BkS5AS%2BO0PtVkBv3Q4n0veLZ%2FqH3fVLFXBfj4t7W0TQ85CnCnBNXv1E7VAH2dp2qr2X2x7CRChFs5BMNXuxLo1nOnhlgPPtvWy%2BZqTaiP%2FksKv7BXWKtcB2fJkIJlkHXmA66EcGkcXPeSrLJYzb8MmXHxBfpCkn5PtDPg75CGm1JRrPwRhkRojfMlhBn39YcwtXSqbMc4%2F58clKYnArfOxaaDEdV4cYA7iizEftKNKmZxMmRn3%2B9Q8YGBTtZn3UjpWFyV69rXDwg%2F6BfoGcwylsc6%2FM7wRp5wHtECG5Z7Ffuvu%2F6BXVjJjLTiFjjcl3z%2BM%2F%2FTuw5bcdDn2l3ycvSYrTEHdTQlqQpQxV0fR50tDKWklUPrgwtXp2TvdNHnvSlqXZszxTg367uAwu9uw0QY6rAKw6ejecdP8ZQ45dk73KWeJl1w8hn0aWvUHRTIVKV5FizKeOv%2FKQrQ8loAJ4v8IA4v3LA2uIolG9DKOFJfI6WA0uOkIdrcoJhI9r92t%2FG7XPE4KhnWAgAPFY3AWvo0rikBjSXc%2Fu2k9BANoqkG4tXWux6YgvS8CaeZ3p8Pei%2Fv1uLYXUyAQBDMcwv1TGYQAlef3fo9eSN8wUKo3%2FzqHHKyq%2BZFX08HAw7lVlzmUedF8P8e0nj0EK2ohDmfh5VnjDC5hBWBJvzFCugkf9ZGTljbZTyMZNRM46YMmyjmZXyqsAD1JBNce%2F3YEcTPTe54157nE1JHri3DwyFQtIReTxa%2BpJenYenfN30QJNf%2Fy3vGc0ObBk8TonskU4%2B%2F2aaU9hTdOQEmdLW6sW2UtTV8%3D&X-Amz-Signature=cafa53c4a5b37c22b833dbbab4828837de83e6138f3d858442e3f9b31ea54c9e&X-Amz-SignedHeaders=host&response-content-disposition=inline
Yurem Richards,grady@verizon.net,Account Dir,"Nestle – ST. Joseph, MO - Purina ",Microsoft (CBRE) – Puget Sound (CBRE),03/04/2020,6:50 PM,(555) 555-5570,"$9,710.00",Night,https://cdn.4insite.com/assets/1598016323.0497205_CB_t.png,https://cdn.4insite.com/assets/r32c977234fe949efb2318c4db1ba0de4_ProfilePic_091056_t.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIA3P5EIQBK2EAQQJGJ%2F20260612%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260612T182822Z&X-Amz-Expires=300&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFMaCXVzLXdlc3QtMiJIMEYCIQD7KMRDZFJWYkfGCdXYApkS8K5vx6Z0M%2F6glnpxwSJ0jQIhAP3ShKjrMYxejB3Nt%2B9np%2Buje6TcRvAqgNycgnVOQ3ucKu0CCBwQBBoMNzkwMDgxNjAxNjIxIgwHgLc7ZY7sW841rFEqygJy%2BOAkHJMI%2BAajjHps6ZmL%2FZiXZ8KpOCPeJcLFc2HJmV%2BkS5AS%2BO0PtVkBv3Q4n0veLZ%2FqH3fVLFXBfj4t7W0TQ85CnCnBNXv1E7VAH2dp2qr2X2x7CRChFs5BMNXuxLo1nOnhlgPPtvWy%2BZqTaiP%2FksKv7BXWKtcB2fJkIJlkHXmA66EcGkcXPeSrLJYzb8MmXHxBfpCkn5PtDPg75CGm1JRrPwRhkRojfMlhBn39YcwtXSqbMc4%2F58clKYnArfOxaaDEdV4cYA7iizEftKNKmZxMmRn3%2B9Q8YGBTtZn3UjpWFyV69rXDwg%2F6BfoGcwylsc6%2FM7wRp5wHtECG5Z7Ffuvu%2F6BXVjJjLTiFjjcl3z%2BM%2F%2FTuw5bcdDn2l3ycvSYrTEHdTQlqQpQxV0fR50tDKWklUPrgwtXp2TvdNHnvSlqXZszxTg367uAwu9uw0QY6rAKw6ejecdP8ZQ45dk73KWeJl1w8hn0aWvUHRTIVKV5FizKeOv%2FKQrQ8loAJ4v8IA4v3LA2uIolG9DKOFJfI6WA0uOkIdrcoJhI9r92t%2FG7XPE4KhnWAgAPFY3AWvo0rikBjSXc%2Fu2k9BANoqkG4tXWux6YgvS8CaeZ3p8Pei%2Fv1uLYXUyAQBDMcwv1TGYQAlef3fo9eSN8wUKo3%2FzqHHKyq%2BZFX08HAw7lVlzmUedF8P8e0nj0EK2ohDmfh5VnjDC5hBWBJvzFCugkf9ZGTljbZTyMZNRM46YMmyjmZXyqsAD1JBNce%2F3YEcTPTe54157nE1JHri3DwyFQtIReTxa%2BpJenYenfN30QJNf%2Fy3vGc0ObBk8TonskU4%2B%2F2aaU9hTdOQEmdLW6sW2UtTV8%3D&X-Amz-Signature=124136e06cc14da8e82f661cf78edb492cc317153b4ffb6f018ab1a9211d77e8&X-Amz-SignedHeaders=host&response-content-disposition=inline
